id,sentence_id,noise_condition,response,target
11,4,+2 SNR,i was back at 2,"I was hyperactive, too"
11,12,-4 SNR,could hear it clearly,My mom was smart and had a sharp tongue
11,27,-4 SNR,give me a series of test,The therapists did give me a series of tests
11,6,+2 SNR,go the bench go look at yourself,Go to the bathroom and look at yourself.
11,1,clear,my eyebrows where gone,My eyebrows were gone
11,24,clear,thats why theres a fire brigadge,That’s why there’s a fire brigade
11,8,-4 SNR,im almost muture from my age,My mom was forever trying to rein me in.
11,2,-4 SNR,i espcically love fireworks,I loved fire and I especially loved fireworks
11,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
11,28,+2 SNR,because i can always find loopholes,Because I could always find loopholes in the law
11,14,-4 SNR,in my mind i was good,"In my mind, I wasn’t breaking the rules"
11,18,clear,one of my uncles stopped calling me trevor he calls me,One of my uncles stopped calling me Trevor
11,19,+2 SNR,the law claims im compelely incconet,The lawyer in me maintains that I am completely innocent
11,22,clear,the white family came home to stand on the streets,The white family came home and stood on the street
11,23,-4 SNR,him and his friend got into a huge fight,He and my mom got into a huge fight.
11,25,clear,they kick abel out of the gargage,They kicked Abel out of the garage
11,17,-4 SNR,they took a break to get a straw,At one point we took a break to go get a snack
11,30,+2 SNR,only when my mom visist,"Man, if only my mom hit me like this"
11,7,clear,your son was luaghing while we were hitting him,Your son was laughing while we were hitting him.
11,10,+2 SNR,why doesnt your mom,Why doesn’t your mother buy it for you?
11,26,-4 SNR,i could not hear it clearly,Abel basically lived with us from then on.
11,20,clear,things catch fire sometimes,Things catch fire sometimes.
11,9,+2 SNR,if i did not like her son i would not of stayed there,And I’d play with her son whenever we stayed there
11,15,+2 SNR,get in trouble when my mom happen,I didn’t get into trouble with my mom when it happened
11,29,clear,kids were bullying me,A kid was bullying me
11,16,clear,i had a box of matches with me too,"I had a box of matches with me, too"
11,5,-4 SNR,there two things in life i like is fire and ice,The two things I loved most were fire and knives.
11,11,+2 SNR,black peoples dog dont play fetch,Black people's dogs don't play fetch
12,13,clear,"when it came to discpline, catholic school was no joke","When it came to discipline, Catholic school was no joke"
12,29,clear,a kid was bullying me,A kid was bullying me
12,20,clear,things catch fire sometimes,Things catch fire sometimes.
12,11,-4 SNR,NA,Black people's dogs don't play fetch
12,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
12,7,clear,your son was laughing while we were hitting him,Your son was laughing while we were hitting him.
12,18,+2 SNR,one of my uncles stopped calling me trevor,One of my uncles stopped calling me Trevor
12,17,+2 SNR,"at one point, we took a break to go get a snack",At one point we took a break to go get a snack
12,1,+2 SNR,my eyebrows were gone,My eyebrows were gone
12,14,+2 SNR,in my mind i wasnt breaking rules,"In my mind, I wasn’t breaking the rules"
12,3,-4 SNR,they called me rubbish...,They called me the rubbish bin of the family
12,23,-4 SNR,he and my mom got into a huge fight,He and my mom got into a huge fight.
12,28,-4 SNR,cause i could always find...,Because I could always find loopholes in the law
12,30,clear,if only my mom hit me like this,"Man, if only my mom hit me like this"
12,24,clear,thats why there is a fire brigade,That’s why there’s a fire brigade
12,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
12,19,clear,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
12,26,-4 SNR,able...,Abel basically lived with us from then on.
12,10,clear,why doesnt your mother buy it for you,Why doesn’t your mother buy it for you?
12,22,+2 SNR,the white family came home and stood on the street,The white family came home and stood on the street
12,5,-4 SNR,"there were two things i loved most, fire and mud",The two things I loved most were fire and knives.
12,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
12,12,-4 SNR,i am smart and i...,My mom was smart and had a sharp tongue
12,8,-4 SNR,my mom is ... and i ...,My mom was forever trying to rein me in.
12,27,clear,the therapist did give me a series of tests,The therapists did give me a series of tests
12,16,-4 SNR,the boxes of matches...,"I had a box of matches with me, too"
12,15,+2 SNR,i didnt get in trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
12,2,+2 SNR,"i loved fire, and i especially loved fireworks",I loved fire and I especially loved fireworks
12,6,clear,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
12,4,-4 SNR,i was at back...,"I was hyperactive, too"
13,4,+2 SNR,i was hyperactive too,"I was hyperactive, too"
13,10,-4 SNR,what did your mother do this evening,Why doesn’t your mother buy it for you?
13,20,-4 SNR,things catch fire sometimes,Things catch fire sometimes.
13,6,+2 SNR,go to the bathroom and look at yourself,Go to the bathroom and look at yourself.
13,13,+2 SNR,"when it came to discipline, catholic school was no joke","When it came to discipline, Catholic school was no joke"
13,2,clear,"i loved fire, and i especially loved fireworks",I loved fire and I especially loved fireworks
13,24,clear,that's why there's a fire brigade,That’s why there’s a fire brigade
13,17,clear,at one point we took a break to go get a snack,At one point we took a break to go get a snack
13,12,+2 SNR,i'm almost smart and have a sharp tongue,My mom was smart and had a sharp tongue
13,26,+2 SNR,abel basically lived with us from then on,Abel basically lived with us from then on.
13,1,clear,my eyebrows were gone,My eyebrows were gone
13,16,-4 SNR,too,"I had a box of matches with me, too"
13,7,+2 SNR,your son was laughing while we were hitting him,Your son was laughing while we were hitting him.
13,30,+2 SNR,if only my mom had seen this,"Man, if only my mom hit me like this"
13,15,clear,i didn't get into trouble with my mom when it happened,I didn’t get into trouble with my mom when it happened
13,18,-4 SNR,one of my uncles stopped reporting the truth,One of my uncles stopped calling me Trevor
13,21,+2 SNR,why did i keep misbehaving,Why did I keep misbehaving?
13,25,+2 SNR,they kicked abel out of the garage,They kicked Abel out of the garage
13,23,-4 SNR,he and my mom went into a huge fight,He and my mom got into a huge fight.
13,3,clear,they called me the rubbish bin of the family,They called me the rubbish bin of the family
13,28,clear,cause i could always find loopholes in the law,Because I could always find loopholes in the law
13,22,clear,the white family came home and stood on the street,The white family came home and stood on the street
13,14,-4 SNR,in my mind i wasn't breaking any rules,"In my mind, I wasn’t breaking the rules"
13,9,+2 SNR,and i played with her son whenever we stayed there,And I’d play with her son whenever we stayed there
13,27,clear,the therapists did give me a series of tests,The therapists did give me a series of tests
13,8,-4 SNR,i'm almost trained,My mom was forever trying to rein me in.
13,5,-4 SNR,the two things i loved the most were fire and mud,The two things I loved most were fire and knives.
13,19,clear,the lawyer in me maintains that i am completely innocent,The lawyer in me maintains that I am completely innocent
13,29,-4 SNR,the kids were bullied,A kid was bullying me
13,11,-4 SNR,black people's dogs don't play fetch,Black people's dogs don't play fetch
